1	1	1673
1	35	985
2	2	1836
2	3	973
3	5	1700
3	8	2881
3	4	2231
4	6	1040
5	7	1793
5	10	1250
6	9	700
6	14	464
6	25	500
7	11	1133
7	19	577
7	24	483
7	29	880
7	30	667
8	31	600
8	15	233
8	13	408
8	17	847
8	22	767
8	20	850
9	28	780
9	26	912
9	18	748
10	23	1863
10	32	714
10	36	1004
10	33	713
10	12	642
11	39	629
11	42	1234
11	37	1143
12	38	1266
12	34	792
12	43	1251
12	41	1310
13	40	663
13	45	494
13	47	1288
13	44	792
13	46	578
13	40	594
14	50	578
14	51	622
14	52	578
14	53	564
14	54	578
14	55	578
14	56	578
14	57	578
14	58	578
14	59	578
14	60	578
14	61	578
16	62	578
16	63	578
16	64	578
16	65	578
16	66	578
16	67	578
17	68	578
17	49	578
17	16	578
17	21	578
17	27	578
17	69	467
17	71	887
18	70	396
18	72	1296
18	73	1100
19	74	2543
19	75	764
19	76	357
20	78	701
20	77	1164
20	79	286
20	81	2100
21	80	450
21	82	1300
22	83	3691
